Gene	Cluster	0.0	0.25	0.5	1.0	3.0	5.0	7.0	10.0
MYH3	1	-5.921189464667501e-16	0.302186666666666	-0.034123333333334095	-0.08635333333333388	5.842443333333333	6.030166666666666	4.881316666666666	3.4915133333333324
IGF1	1	-5.921189464667501e-16	-1.6118525000000004	-1.7246816666666673	-1.157278333333334	-0.19420500000000077	0.38322833333333267	0.39045499999999933	-0.005669166666667873
LRRN1	1	-1.4802973661668753e-16	-0.5169288888888888	-0.5325177777777781	-0.387007777777778	0.15686888888888864	0.32617	0.49953555555555545	0.2842477777777776
KCTD4	1	-2.9605947323337506e-16	0.2835066666666668	0.47195500000000007	-0.15299500000000035	1.962096666666666	1.663811666666666	1.4519066666666662	0.8126349999999999
ZFP810	1	5.921189464667501e-16	-0.547086666666666	-1.1482966666666659	-0.9885566666666659	-0.05748333333333259	0.19944000000000095	0.23787000000000091	-0.015203333333332717
CLYBL	1	0.0	-0.9174766666666665	-1.2211299999999998	-1.49975	-0.6067399999999997	-0.5337599999999997	-0.9064800000000002	-0.6865933333333333
LIPA	1	-2.9605947323337506e-16	-0.38079888888888885	0.37218888888888885	1.0897066666666666	1.7007544444444453	1.632539999999999	1.270244444444443	1.0046588888888885
CSRP2	1	-1.1842378929335002e-15	-0.09633000000000062	-0.5212366666666673	-0.1390566666666674	0.9321766666666657	1.5098499999999995	1.2886199999999992	0.8838666666666661
COL1A2	1	-1.1842378929335002e-15	-2.0916166666666687	-2.3864744444444472	-2.0443955555555586	-0.5107077777777794	0.2410522222222209	0.2254544444444425	-0.015394444444448633
PDGFC	1	5.921189464667501e-16	-0.8984099999999993	-0.4023483333333327	-0.7155683333333318	0.49864166666666776	0.7362233333333345	0.4321633333333346	-0.33558333333333223
NDN	1	0.0	-1.1481762499999997	-0.7559591666666661	-0.5058362499999994	0.008753750000000634	0.0855737500000003	0.17445208333333392	-0.15848291666666606
VSNL1	1	0.0	-0.8875566666666668	-1.2597016666666667	-1.2539516666666672	-0.1083366666666669	-0.21113833333333373	-0.3357100000000006	-0.5487616666666671
PRC1	1	-5.921189464667501e-16	-0.791115000000001	-1.734020000000001	-0.31279833333333446	0.485803333333332	0.09238833333333218	0.1063733333333327	0.285874999999999
ZDBF2	1	0.0	-0.26044	0.00720666666666651	-0.2510133333333335	0.6305566666666665	0.9694533333333331	0.7394299999999999	0.3087299999999997
TMEM117	1	5.921189464667501e-16	-0.7057966666666659	-0.2949333333333328	-0.811586666666666	0.46557666666666747	0.48329000000000083	0.03378000000000073	-0.26222999999999913
CNTLN	1	0.0	-1.1208133333333334	-1.13982	-0.8976666666666668	-0.09785333333333342	0.1435633333333334	0.025513333333333204	-0.13966000000000012
PDIA5	1	2.9605947323337506e-16	-0.5412433333333327	0.18040000000000025	0.54313	0.858176666666667	1.5529633333333337	1.1405666666666672	0.4024533333333335
